"","Title","Summary","Organism","Type","Platforms","Contains","FTP download","Series Accession","ID","SRA Run Selector","Datasets","Citation","PMID","Contributor","Date","Abstract","Tissue","DevelopmentalStage","ManipulatedVariables","Notes","ManipulationUnrelatedToTopic","WrongTissue","NotBulkDissection_ParticularCellTypeOrSubRegion","IncorrectDevelopmentalStage","NotFullTranscriptome","MetadataIssues_MissingInfo_Retracted_Duplicated","Excluded","WhyExcluded"
"144","Incidence of microvascular dysfunction is increased in hyperlipidemic mice, reducing cerebral blood flow and impairing remote memory.","The development of cognitive dysfunction is not necessarily associated with diet-induced obesity. We hypothesized that cognitive dysfunction might require additional vascular damage, for example, in atherosclerotic mice. We induced atherosclerosis in male C57BL/6N mice by injecting AAV-PCSK9DY (2x1011 VG) and feeding them a cholesterol-rich Western diet. After 3 months, mice were examined for cognition using Barnes maze procedure and for cerebral blood flow. more...","Mus musculus","Expression profiling by high throughput sequencing","GPL30172","8 Samples","GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE247nnn/GSE247400/","GSE247400",200247400,NA,NA,"","38469142","Luis,D,Hernandez Torres Flavia,,Rezende Eva,,Peschke Olga,,Will Jan-Bernd,,Hoevener Frauke,,Spiecker Ümit,,Özorhan Josephine,,Lampe Ines,,Stölting Zouhair,,Aherrahrou Carsten,,Kuenne Kristina,,Kusche-Vihrog Urte,,Matschl Susanne,,Hille Ralf,P,Brandes Markus,,Schwaninger Oliver,J,Müller Walter,,Raasch","Nov 09 2023","The development of cognitive dysfunction is not necessarily associated with diet-induced obesity. We hypothesized that cognitive dysfunction might require additional vascular damage, for example, in atherosclerotic mice. We induced atherosclerosis in male C57BL/6N mice by injecting AAV-PCSK9DY (2x1011 VG) and feeding them a cholesterol-rich Western diet. After 3 months, mice were examined for cognition using Barnes maze procedure and for cerebral blood flow. Cerebral vascular morphology was examined by immunehistology. In AAV-PCSK9DY-treated mice, plaque burden, plasma cholesterol, and triglycerides are elevated. RNAseq analyses followed by KEGG annotation show increased expression of genes linked to inflammatory processes in the aortas of these mice. In AAV-PCSK9DY-treated mice learning was delayed and long-term memory impaired. Blood flow was reduced in the cingulate cortex (-17%), caudate putamen (-15%), and hippocampus (-10%). Immunohistological studies also show an increased incidence of string vessels and pericytes (CD31/Col IV staining) in the hippocampus accompanied by patchy blood-brain barrier leaks (IgG staining) and increased macrophage infiltrations (CD68 staining). We conclude that the hyperlipidemic PCSK9DY mouse model can serve as an appropriate approach to induce microvascular dysfunction that leads to reduced blood flow in the hippocampus, which could explain the cognitive dysfunction in these mice.","","","","","","","","","","","",""
"145","Energy Balance Drives Diurnal and Nocturnal Brain Transcriptome Rhythms","Plasticity in the daily timing of activity has been observed in a wide variety of species, yet the underlying mechanisms driving nocturnality and diurnality remain to be discovered. By regulating how much wheel-running activity will be rewarded with a food pellet, we can manipulate energy balance, and switch mice to be nocturnal or diurnal. Here we present the rhythmic transcriptome of 21 tissues, including 17 brain regions (hypothalamic, thalamic, cortical), sampled every 4 hours over a 24-hour period from nocturnal and diurnal male CBA/CaJ mice. more...","Mus musculus","Expression profiling by high throughput sequencing","GPL24247","493 Samples","GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE228nnn/GSE228967/","GSE228967",200228967,NA,NA,"","38508192","Laura,,van Rosmalen Shaunak,,Deota Geraldine,,Maier Hiep,D,Le Terry,,Lin Ramesh,K,Ramasamy Roelof,A,Hut Satchidananda,,Panda","Apr 04 2023","Plasticity in the daily timing of activity has been observed in a wide variety of species, yet the underlying mechanisms driving nocturnality and diurnality remain to be discovered. By regulating how much wheel-running activity will be rewarded with a food pellet, we can manipulate energy balance, and switch mice to be nocturnal or diurnal. Here we present the rhythmic transcriptome of 21 tissues, including 17 brain regions (hypothalamic, thalamic, cortical), sampled every 4 hours over a 24-hour period from nocturnal and diurnal male CBA/CaJ mice. Rhythmic gene expression across tissues comprised a different set of genes with minimal overlap between nocturnal and diurnal mice. We show that genes other than clock genes in the suprachiasmatic nucleus (SCN) of nocturnal and diurnal mice change, and the habenula was the most affected tissue. Our results indicate that adaptive flexibility in daily timing of behavior is supported by gene expression dynamics in many tissues and brain regions, especially in the habenula, which suggests a crucial role for the observed nocturnal-diurnal switch.","","","","","","","","","","","",""
"146","Autofluorescence is a biomarker of neural stem cell activation state [Hippocampus]","Neural stem cells (NSCs) in the adult brain are primarily quiescent but can activate and enter the cell cycle to produce newborn neurons. NSC quiescence can be regulated by disease, injury, and age, however our understanding of NSC quiescence is limited by technical limitations imposed by the bias of markers used to isolate each population of NSCs and the lack of live-cell labeling strategies. Fluorescence lifetime imaging (FLIM) of autofluorescent metabolic cofactors has previously been used in other cell types to study shifts in cell states driven by metabolic remodeling that change the optical properties of these endogenous fluorophores. more...","Mus musculus","Expression profiling by high throughput sequencing","GPL19057","2 Samples","GEO (CSV, TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE223nnn/GSE223092/","GSE223092",200223092,NA,NA,"","38521057","Christopher,S,Morrow Kelsey,,Tweed Zachary,P,Arndt Alex,J,Walsh Bo,,Peng Ryan,D,Risgaard Payton,C,Klosa Michelle,M,Chi Eli,P,Wallace Matthew,V,Jones Avtar,,Roopra Melissa,C,Skala Darcie,L,Moore","Jan 17 2023","Neural stem cells (NSCs) in the adult brain are primarily quiescent but can activate and enter the cell cycle to produce newborn neurons. NSC quiescence can be regulated by disease, injury, and age, however our understanding of NSC quiescence is limited by technical limitations imposed by the bias of markers used to isolate each population of NSCs and the lack of live-cell labeling strategies. Fluorescence lifetime imaging (FLIM) of autofluorescent metabolic cofactors has previously been used in other cell types to study shifts in cell states driven by metabolic remodeling that change the optical properties of these endogenous fluorophores. Here we asked whether autofluorescence could be used to discriminate NSC activation state. We found that quiescent NSCs (qNSCs) and activated NSCs (aNSCs) each have unique autofluorescence intensity and fluorescence lifetime profiles. Additionally, qNSCs specifically display an enrichment of a specific autofluorescent signal localizing to lysosomes that is highly predictive of cell state. These signals can be used as a graded marker of NSC quiescence to predict cell behavior and track the dynamics of quiescence exit at single cell resolution in vitro and in vivo. Through coupling autofluorescence imaging with single-cell RNA sequencing in vitro and in vivo, we provide a high-resolution resource revealing transcriptional features linked to rapid NSC activation and deep quiescence. Taken together, we describe a single-cell resolution, non-destructive, live-cell, label-free strategy for measuring NSC activation state in vitro and in vivo and use this tool to expand our understanding of adult neurogenesis.","","","","","","","","","","","",""
"147","Glial Reactivity and Cognitive Decline Follow Chronic Heterochromatin Loss in Neurons","In aging cells and animal models of premature aging, heterochromatin loss coincides with transcriptional disruption including the activation of normally silenced endogenous retroviruses (ERVs). Here we show that loss of heterochromatin maintenance and de-repression of ERVs result in a chronic inflammatory environment characterized by neurodegeneration and cognitive decline in mice.  We identify distinct roles for HP1 proteins to ERV silencing where HP1γ is necessary and sufficient for H4K20me3 deposition and HP1β deficiency causes aberrant DNA methylation. more...","Mus musculus","Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Methylation profiling by high throughput sequencing","GPL24247 GPL13112 GPL19057","71 Samples","GEO (BEDGRAPH, BW, COV, CSV, RDS, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153331/","GSE153331",200153331,"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA642104",NA,"","40781223","Andrew,G,Newman Jafar,,Sharif Paraskevi,,Bessa Sami,,Zaqout Jeremy,,Brown Daniel,,Richter Rike,,Dannenberg Manabu,,Nakayama Susanne,,Mueller Theres,,Schaub Shairam,,Manickaraj Philipp,,Boehm-Sturm Osamu,,Ohara Haruhiko,,Koseki Prim,B,Singh Victor,,Tarabykin","Jun 26 2020","In aging cells and animal models of premature aging, heterochromatin loss coincides with transcriptional disruption including the activation of normally silenced endogenous retroviruses (ERVs). Here we show that loss of heterochromatin maintenance and de-repression of ERVs result in a chronic inflammatory environment characterized by neurodegeneration and cognitive decline in mice.  We identify distinct roles for HP1 proteins to ERV silencing where HP1γ is necessary and sufficient for H4K20me3 deposition and HP1β deficiency causes aberrant DNA methylation. Combined loss of HP1β and HP1γ results in loss of DNA methylation at ERVK elements. Progressive ERV de-repression in HP1β/γ DKO mice is followed by stimulation of the integrated stress response, an increase of Complement 3+ reactive astrocytes and phagocytic microglia.  This chronic inflammatory state coincides with age-dependent reductions in dendrite complexity and cognition.  Our results demonstrate the importance of preventing loss of epigenetic maintenance that is necessary for protection of postmitotic neuronal genomes.","","","","","","","","","","","",""
"148","Sequencing of the hippocampal transcriptome of vestibular spatial disorientation mice","In summary, this study developed a mouse model for SD by combining rotational stimulation and visual occlusion. Evaluation of the model showed physiological changes, impaired motor and cognitive function, and neuronal activation in the hippocampus. Transcriptomic analysis revealed a possible underlying mechanism of SD. These findings lay a foundation for further investigation into the molecular mechanisms underlying SD.","Mus musculus","Expression profiling by high throughput sequencing","GPL24247","18 Samples","GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE243nnn/GSE243471/","GSE243471",200243471,NA,NA,"","38162025","Tong,,Chang","Sep 18 2023","In summary, this study developed a mouse model for SD by combining rotational stimulation and visual occlusion. Evaluation of the model showed physiological changes, impaired motor and cognitive function, and neuronal activation in the hippocampus. Transcriptomic analysis revealed a possible underlying mechanism of SD. These findings lay a foundation for further investigation into the molecular mechanisms underlying SD.","","","","","","","","","","","",""
"149","Comparison p4 CA1 pyramidal cell layer MGE derived interneuronal transcriptomes between male and female GPHNWT and GPHNS268/270A mutant mice acquired using patch sequencing techniques","In order to understand why blocking gephyrin phosphorylation via mutating serines 268 and 270 to alanine disrupts PV interneuron development in the hippocampus, we recorded spontaneous and elicited activity in developing MGE derived interneurons within the dorsal hippocampal CA1 pyramidal cell layer, then aspirated the contents of the cells to detect differences in the transcriptomic state between sexes and genotypes.","Mus musculus","Expression profiling by high throughput sequencing","GPL24247","76 Samples","GEO (TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197607/","GSE197607",200197607,NA,NA,"","","Benjamin,,Campell Natalia,,Cruz Ochoa David,,Lukacsovich Wenshu,,Luo Csaba,,Földy Shiva,,Tyagarajan","Feb 28 2022","In order to understand why blocking gephyrin phosphorylation via mutating serines 268 and 270 to alanine disrupts PV interneuron development in the hippocampus, we recorded spontaneous and elicited activity in developing MGE derived interneurons within the dorsal hippocampal CA1 pyramidal cell layer, then aspirated the contents of the cells to detect differences in the transcriptomic state between sexes and genotypes.","","","","","","","","","","","",""
"150","A single-cell transcriptomic analysis of the mouse hippocampus after voluntary exercise","Exercise has been recognized as a beneficial factor for cognitive health, particularly in relation to the hippocampus, a vital brain region responsible for learning and memory. Previous research has demonstrated that exercise-mediated improvement of learning and memory in humans and rodents correlates with increased adult neurogenesis and processes related to enhanced synaptic plasticity. Nevertheless, the underlying molecular mechanisms are not fully understood. more...","Mus musculus","Expression profiling by high throughput sequencing","GPL21626","8 Samples","GEO (TAR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234278/","GSE234278",200234278,NA,NA,"","38217668","Aditi,,Methi Rezaul,,Islam Lalit,,Kaurani Sadman,,Sakib Dennis,M,Krüger Susanne,,Burkhardt David,,Liebetanz André,,Fischer","Jun 06 2023","Exercise has been recognized as a beneficial factor for cognitive health, particularly in relation to the hippocampus, a vital brain region responsible for learning and memory. Previous research has demonstrated that exercise-mediated improvement of learning and memory in humans and rodents correlates with increased adult neurogenesis and processes related to enhanced synaptic plasticity. Nevertheless, the underlying molecular mechanisms are not fully understood. With the aim to further elucidate these mechanisms we provide a comprehensive dataset of the mouse hippocampal transcriptome at the single-cell level after four weeks of voluntary wheel-running. Our analysis provides a number of interesting observations. For example, the results suggest that exercise affects adult neurogenesis by accelerating the maturation of a subpopulation of Prdm16-expressing neurons. Moreover, we uncover the existence of an intricate crosstalk among multiple vital signaling pathways such as NF-κB, Wnt/β-catenin, Notch, retinoic acid (RA) pathways altered upon exercise in a specific cluster of excitatory neurons within the Cornu Ammonis (CA) region of the hippocampus. In conclusion, our study provides an important dataset and sheds further light on the molecular changes induced by exercise in the hippocampus. These findings have implications for developing targeted interventions aimed at optimizing cognitive health and preventing age-related cognitive decline.","","","","","","","","","","","",""
"151","Ketogenic diet and BHB rescue the fall of long-term potentiation in an Alzheimer's mouse model and stimulates synaptic plasticity pathway enzymes","The Ketogenic Diet (KD) improves memory and longevity in aged C57BL/6 mice. We tested 7 months KD vs. control diet (CD) in the mouse Alzheimer's Disease (AD) model APP/PS1. KD significantly rescued Long-Term-Potentiation (LTP) to wild-type levels, not by changing Amyloid-β (Aβ) levels. KD's 'main actor' is thought to be Beta-Hydroxy-butyrate (BHB) whose levels rose significantly in KD vs. CD mice, and BHB itself significantly rescued LTP in APP/PS1 hippocampi. more...","Mus musculus","Expression profiling by high throughput sequencing","GPL24247","7 Samples","GEO (TAB) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE230nnn/GSE230469/","GSE230469",200230469,NA,NA,"","","Jacopo,,Di Lucente Giuseppe,,Persico Zeyu,,Zhou Lee-Way,,Jin Jon,J,Ramsey Jennifer,R,Rutkowsky Claire,,Montgomery Kyoungmi,,Kim Marco,,Giorgi Izumi,,Maezawa Gino,A,Cortopassi Alexey,,Tomilov","Apr 24 2023","The Ketogenic Diet (KD) improves memory and longevity in aged C57BL/6 mice. We tested 7 months KD vs. control diet (CD) in the mouse Alzheimer's Disease (AD) model APP/PS1. KD significantly rescued Long-Term-Potentiation (LTP) to wild-type levels, not by changing Amyloid-β (Aβ) levels. KD's 'main actor' is thought to be Beta-Hydroxy-butyrate (BHB) whose levels rose significantly in KD vs. CD mice, and BHB itself significantly rescued LTP in APP/PS1 hippocampi. KD's 6 most significant pathways induced in brains by RNAseq all related to Synaptic Plasticity. KD induced significant increases in synaptic plasticity enzymes p-ERK and p-CREB in both sexes, and of brain-derived neurotrophic factor (BDNF) in APP/PS1 females. We suggest KD rescues LTP through BHB's enhancement of synaptic plasticity. LTP falls in Mild-Cognitive Impairment (MCI) of human AD. KD and BHB, because they are an approved diet and supplement respectively, may be most therapeutically and translationally relevant to the MCI phase of Alzheimer's Disease.","","","","","","","","","","","",""
"152","Microglial 25-hydroxycholesterol mediates neuroinflammation and neurodegeneration in a tauopathy mouse model.","Alzheimer’s disease (AD) is characterized by amyloid plaques and neurofibrillary tangles in addition to neuroinflammation and changes in brain lipid metabolism. Recent findings have demonstrated that microglia are key drivers of neurodegeneration in tauopathy mouse models. A subset of microglia referred to as disease-associated microglia (DAM) display gene signatures signifying changes in proinflammatory signaling and lipid metabolism in mouse models of amyloid and tau pathology. more...","Mus musculus","Expression profiling by high throughput sequencing","GPL24247","5 Samples","GEO (MTX, TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE242nnn/GSE242896/","GSE242896",200242896,NA,NA,"","","Jason,D,Ulrich Anil,,Cashikar Danira,,Toral","Sep 11 2023","Alzheimer’s disease (AD) is characterized by amyloid plaques and neurofibrillary tangles in addition to neuroinflammation and changes in brain lipid metabolism. Recent findings have demonstrated that microglia are key drivers of neurodegeneration in tauopathy mouse models. A subset of microglia referred to as disease-associated microglia (DAM) display gene signatures signifying changes in proinflammatory signaling and lipid metabolism in mouse models of amyloid and tau pathology. Ch25h is a DAM gene encoding cholesterol 25-hydroxylase that produces 25-hydroxycholesterol (25HC), a known modulator of inflammation as well as lipid metabolism. However, whether Ch25h influences tau-mediated neuroinflammation and neurodegeneration is unknown. Here, we show that in the absence of Ch25h and 25HC there is strikingly reduced age-dependent neurodegeneration and neuroinflammation in the hippocampus and entorhinal/piriform cortex of PS19 mice which express the P301S mutant human tau transgene. Transcriptomic analyses of bulk hippocampal tissue and single nuclei revealed that Ch25h deficiency in PS19 mice strongly suppressed proinflammatory cytokine and chemokine signaling in microglia and restored sterol synthesis. Our results suggest a key role for Ch25h/25HC in potentiating proinflammatory signaling to promote tau-mediated neurodegeneration. Ch25h may represent a novel therapeutic target for primary tauopathies, AD, and other neuroinflammatory diseases.","","","","","","","","","","","",""
"153","Neuronal extracellular vesicles mediate BDNF-dependent dendritogenesis and synapse maturation via microRNAs","Extracellular vesicles (EVs) are emerging as novel mediators of cellular communication, in part via the delivery of their contents including microRNAs; small non-coding RNAs that regulate gene expression and are crucial for neuronal circuit formation and function. Whether microRNAs are transferred between differentiated neurons is so far unknown. Moreover, the physiological role of EVs in inter-neuronal signaling is largely elusive. more...","Mus musculus","Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing","GPL13112","42 Samples","GEO (XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE184nnn/GSE184945/","GSE184945",200184945,"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA767079",NA,"","36753414","Anna,,Antoniou Anja,,Schneider Lalit,,Kaurani Andre,,Fischer","Sep 28 2021","Extracellular vesicles (EVs) are emerging as novel mediators of cellular communication, in part via the delivery of their contents including microRNAs; small non-coding RNAs that regulate gene expression and are crucial for neuronal circuit formation and function. Whether microRNAs are transferred between differentiated neurons is so far unknown. Moreover, the physiological role of EVs in inter-neuronal signaling is largely elusive. We observed that EVs derived from brain-derived neurotrophic factor (BDNF)-treated neurons induced dendrite complexity, synapse maturation and neuronal firing in recipient hippocampal neurons. This was dependent on the activity of three microRNAs, miR-132-5p, miR-218-5p and miR-690, that were specifically up-regulated in BDNF-induced EVs. Transcriptomic analysis further showed the differential expression of genes related to synaptogenesis in BDNF-EV-treated neurons, many of which are conserved targets of these miRNAs. Overall, this work demonstrates a novel mechanism of inter-neuronal communication, which may be highly relevant in neurological disorders characterized by aberrant BDNF signaling.","","","","","","","","","","","",""
"154","Single cell methylation, RNA, and ATAC sequencing of ventral hippocampal brain tissue from inbred mouse strains","Despite advances in genetics over the last two decades, relating genetic variants to behavior remains a fundamental challenge. Particularly in mice, progress is frustrated by the low resolution of genetic mapping, and consequently by the thousands of candidate causal variants that must be screened. To assess the utility of DNA methylation marks in discovering causative variants we examined their relationship to genetic variation by generating genome-wide, base-pair resolution maps of multiple cell types from the hippocampus of eight fully sequenced inbred strains of Mus musculus. more...","Mus musculus","Methylation profiling by high throughput sequencing; Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing","GPL24247","24 Samples","GEO (TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE245nnn/GSE245367/","GSE245367",200245367,NA,NA,"","38116123 38697120","Patrick,B,Chen Jonathan,,Flint Chongyuan,,Luo","Oct 13 2023","Despite advances in genetics over the last two decades, relating genetic variants to behavior remains a fundamental challenge. Particularly in mice, progress is frustrated by the low resolution of genetic mapping, and consequently by the thousands of candidate causal variants that must be screened. To assess the utility of DNA methylation marks in discovering causative variants we examined their relationship to genetic variation by generating genome-wide, base-pair resolution maps of multiple cell types from the hippocampus of eight fully sequenced inbred strains of Mus musculus. We find that the impact of sequence variation, as mediated by methylation changes, depends on local CpG sequence density. At CpG sequence densities of less than 40 CpG/Kb, cells compensate for loss of methylated sites by methylating additional sites to maintain methylation levels. At higher CpG sequence densities, the exact location of a methylated site becomes more important suggesting that variants affecting methylation sites in regions of high CpG density will have a greater effect on transcription. We test this hypothesis by assessing the effect of mutations on single cell transcript abundance for two inbred strains (C57BL/6J and DBA/2J). The effect of mutations that alter methylated CpG sites is restricted to regions of high sequence density, and from single cell ATAC-seq data, localizes predominantly to enhancers. With approximately tenfold fewer mutations in high than low sequence density CpG regions, candidate variants affecting transcript abundance, and hence downstream phenotypes, including behavior, can be prioritized based on CpG sequence density. Furthermore, our findings imply that DNA methylation influences the likelihood that mutations occur at specific sites in the genome, supporting the view that the distribution of mutations is not random.","","","","","","","","","","","",""
"155","Primary Cilia-Mediated Regulation of Microglial Secretion in Alzheimer's Disease","Alzheimer's disease (AD) is a brain disorder manifested by a gradual decline in cognitive function due to the accumulation of extracellular amyloid plaques, disruptions in neuronal substance transport, and the degeneration of neurons. In affected neurons, incomplete clearance of toxic proteins by neighboring microglia leads to irreversible brain inflammation, for which cellular signaling is poorly understood. more...","Mus musculus","Expression profiling by high throughput sequencing","GPL19057 GPL24247","19 Samples","GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE237nnn/GSE237776/","GSE237776",200237776,NA,NA,"","37942288","Seungun,,Yeo Jaemyung,,Jang Hyun,J,Jung Youngshik,,Choe","Jul 19 2023","Alzheimer's disease (AD) is a brain disorder manifested by a gradual decline in cognitive function due to the accumulation of extracellular amyloid plaques, disruptions in neuronal substance transport, and the degeneration of neurons. In affected neurons, incomplete clearance of toxic proteins by neighboring microglia leads to irreversible brain inflammation, for which cellular signaling is poorly understood. Through single-cell transcriptomic analysis, we discovered distinct regional differences in the ability of microglia to clear damaged neurites. Specifically, microglia in the septal region of wild type mice exhibited a transcriptomic signature resembling disease-associated microglia (DAM). These Lateral septum (LS)-enriched microglia (SEM) were associated with dense axonal bundles originating from the hippocampus. Further transcriptomic and proteomic approaches revealed that primary cilia, small hair-like structures found on cells, played a role in the regulation of microglial secretory function. Notably, primary cilia were transiently observed in less than 10% of microglia, and their presence was significantly reduced in microglia from AD mice. We observed significant changes in the expression and distribution of the secretome after inhibiting the primary cilia gene intraflagellar transport particle 88 (Ift88) in microglia. Intriguingly, inhibiting primary cilia in the SEM of AD mice resulted in the expansion of extracellular amyloid plaques and damage to adjacent neurites. These results indicate that DAM-like microglia are present in the LS, a critical target region for hippocampal nerve bundles, and that the primary ciliary signaling system regulates microglial secretion, affecting extracellular proteostasis. Age-related primary ciliopathy probably contributes to the selective sensitivity of microglia, thereby exacerbating AD. Targeting the primary ciliary signaling system could therefore be a viable strategy for modulating neuroimmune responses in AD treatments.","","","","","","","","","","","",""
"156","Nrf2 activation rescues stress-induced depression-like behaviour and inflammatory responses in male but not female rats","Background: Major depressive disorder (MDD) is a recurring affective disorder that is two times more prevalent in females than males. Evidence supports immune system dysfunction as a major contributing factor to MDD, notably in a sexually dimorphic manner. Nuclear factor erythroid 2-related factor 2 (Nrf2), a regulator of antioxidant signaling during inflammation, is dysregulated in many chronic inflammatory disorders, however its role in depression and the associated sex differences have yet to be explored. more...","Rattus norvegicus","Expression profiling by array","GPL17117","24 Samples","GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE248nnn/GSE248186/","GSE248186",200248186,NA,NA,"","38350966","Ryan,T,McCallum Rachel-Karson,,Thériault Joshua,D,Manduca Isaac,S,Russell Angel,M,Culmer Janan,S,Doost Tami,A,Martino Melissa,L,Perreault","Nov 17 2023","Background: Major depressive disorder (MDD) is a recurring affective disorder that is two times more prevalent in females than males. Evidence supports immune system dysfunction as a major contributing factor to MDD, notably in a sexually dimorphic manner. Nuclear factor erythroid 2-related factor 2 (Nrf2), a regulator of antioxidant signaling during inflammation, is dysregulated in many chronic inflammatory disorders, however its role in depression and the associated sex differences have yet to be explored. Here we investigated the sex-specific antidepressant and immunomodulatory effects of the potent Nrf2 activator dimethyl fumarate (DMF), as well as the associated gene expression profiles.  Methods: Male and female rats were treated with vehicle or DMF (25 mg/kg) while subjected to 8 weeks of chronic unpredictable stress. The effect of DMF treatment on stress-induced depression- and anxiety-like behaviours, as well as deficits in recognition and spatial learning and memory were then assessed. Hippocampal (HIP) microglial activation and alterations in gene transcripts were also evaluated.  Results: DMF treatment during stress exposure had antidepressant effects in male but not female rats, with no anxiolytic effects in either sex. Recognition learning and memory and spatial learning and memory were impaired in chronically stressed males and females, respectively, however DMF treatment rescued these deficits. DMF treatment also prevented stress-induced HIP microglial activation in males. Conversely, females displayed no HIP microglial activation associated with stress exposure. Lastly, chronic stress elicited sex-specific alterations in HIP gene expression, many of which were normalized in animals treated with DMF. Of note, several differentially expressed genes in males were related to inflammatory or immune responses.  Conclusions: Collectively, these findings support a greater role of immune processes in males than females in a rodent model of depression. This suggests that pharmacotherapies that target Nrf2 have the potential to be an effective sex-specific treatment for depression.","","","","","","","","","","","",""
"157","Analysis of global gene expression using RNA-sequencing reveals new roles of Yanghe Pingchuan decoction in asthma","Context: Yanghe Pingchuan decoction (YPD) has been used for asthma treatment for many years in China. Objective: We sought to understand the role of YPD, and find more potential targets for YPD-based treatment of asthma. Materials and methods: An ovalbumin-induced asthma model in rats was created. Staining (hematoxylin and eosin, Masson) was used to evaluate the treatment effect of YPD. RNA-sequencing was carried out to analyze global gene expression, and differentially expressed genes (DEGs) were identified. more...","Rattus norvegicus","Expression profiling by high throughput sequencing","GPL25947","6 Samples","GEO (XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE247nnn/GSE247032/","GSE247032",200247032,NA,NA,"","38500104","Lingyu,,Pan Bangfu,,He Chunxia,,Gong Yehong,,Sun Xianchun,,Duan Yanquan,,Han Yongzhong,,Wang","Nov 04 2023","Context: Yanghe Pingchuan decoction (YPD) has been used for asthma treatment for many years in China.","","","","","","","","","","","",""
"158","Social isolation-induced transcriptomic changes in mouse hippocampus impact the synapse and show convergence with human genetic risk for neurodevelopmental phenotypes","Early life stress (ELS) can impact brain development and is a risk factor for neurodevelopmental disorders such as schizophrenia. Post-weaning social isolation (SI) is used to model ELS in animals, using isolation stress to disrupt a normal developmental trajectory. We aimed to investigate how SI affects the expression of genes in mouse hippocampus and to investigate how these changes related to the genetic basis of neurodevelopmental phenotypes. more...","Mus musculus","Expression profiling by high throughput sequencing","GPL24247","30 Samples","GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE246nnn/GSE246551/","GSE246551",200246551,NA,NA,"","38127959","Aodán,,Laighneach John,P,Kelly Lieve,,Desbonnet Laurena,,Holleran Daniel,M,Kerr Declan,,McKernan Gary,,Donohoe Derek,W,Morris","Oct 30 2023","Early life stress (ELS) can impact brain development and is a risk factor for neurodevelopmental disorders such as schizophrenia. Post-weaning social isolation (SI) is used to model ELS in animals, using isolation stress to disrupt a normal developmental trajectory. We aimed to investigate how SI affects the expression of genes in mouse hippocampus and to investigate how these changes related to the genetic basis of neurodevelopmental phenotypes. BL/6J mice were exposed to post-weaning SI (PD21-25) or treated as group-housed controls (n = 7-8 per group). RNA sequencing was performed on tissue samples from the hippocampus of adult male and female mice. Four hundred and 1,215 differentially-expressed genes (DEGs) at a false discovery rate of < 0.05 were detected between SI and control samples for males and females respectively. DEGS for both males and females were significantly overrepresented in gene ontologies related to synaptic structure and function, especially the post-synapse. DEGs were enriched for common variant (SNP) heritability in humans that contributes to risk of neuropsychiatric disorders (schizophrenia, bipolar disorder) and to cognitive function. DEGs were also enriched for genes harbouring rare de novo variants that contribute to autism spectrum disorder and other developmental disorders. Finally, cell type analysis revealed populations of hippocampal astrocytes that were enriched for DEGs, indicating effects in these cell types as well as neurons. Overall, these data suggest a convergence between genes dysregulated by the SI stressor in the mouse and genes associated with neurodevelopmental disorders and cognitive phenotypes in humans.","","","","","","","","","","","",""
